N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
191,다우기술,"21,750",200,-0.91%,500,"9,758","44,867",22.69,"290,464",3.50,14.62,
192,KODEX 인버스,"4,795",15,-0.31%,0,"9,542","199,000",1.02,"21,295,558",N/A,N/A,
193,영풍,"514,000","2,000",-0.39%,"5,000","9,468","1,842",4.74,588,5.11,7.40,
194,GKL,"15,300",150,+0.99%,500,"9,464","61,856",6.07,"495,832",-71.16,12.62,
195,KODEX 단기채권PLUS,"102,800",5,0.00%,0,"9,448","9,191",0.00,"441,799",N/A,N/A,
196,코리안리,"7,730",10,+0.13%,500,"9,305","120,369",27.69,"445,804",5.53,8.04,
197,롯데리츠,"5,400",100,-1.82%,500,"9,286","171,969",8.89,"361,235",60.00,1.80,
198,태광산업,"829,000","10,000",+1.22%,"5,000","9,230","1,113",8.99,"1,188",8.90,4.34,
199,두산,"54,600","1,000",+1.87%,"5,000","9,022","16,524",6.31,"168,950",11.12,23.52,
200,후성,"9,540",140,+1.49%,500,"8,835","92,607",4.24,"1,305,415",-173.45,3.85,
